,Jnum,ROT_mean,ROT_std,SL_mean,SL_std,RDD_mean,RDD_std,NO_mean,NO_std,NO_max,U_mean,U_std,Ele_mean,Ele_low,WL_mean,WL_std,RDD_mean,RDD_std,NIV,NRT,Stay_mean,Stay_std,class
0,19,211.6315789473684,114.64875904316848,685.4786147368194,412.2790800644281,897.1101936841878,472.8814404376214,0.3,0.46,1,0.8584,0.0552,0.5904,0,235.75,159.5953868380913,897.1101936841878,472.8814404376214,0,112,357.35068448582365,216.23341171738875,0
1,26,239.71153846153845,112.89870997056501,673.2874638170322,488.7074488503442,912.9990022785707,554.9123208734055,0.3,0.46,1,0.9463,0.015,0.3211,3,366.4583333333333,231.99878397071157,912.9990022785707,554.9123208734055,0,174,422.9835298100759,313.97685645162056,1
2,36,208.91666666666666,119.9778625413872,397.97051547926264,456.32011930640357,606.8871821459293,534.1567681879224,0.2,0.4,1,0.9654,0.0151,0.0856,7,442.75,296.32692390893766,606.8871821459293,534.1567681879224,0,205,584.3290698639457,375.32659944965366,0
3,13,203.53846153846155,129.67762714612155,695.3552065910685,368.47043767123216,898.89366812953,418.9117036582233,0.1,0.3,1,0.9224,0.0103,0.8029,0,153.08333333333334,97.74090608451624,898.89366812953,418.9117036582233,3,71,413.7653531623028,242.130200565005,2
4,27,222.53703703703704,118.01003770285077,724.9877275380228,418.6579594174361,947.5247645750601,492.8447460572096,0.3,0.46,1,0.8473,0.0559,0.5577,0,359.2916666666667,235.4479293401315,947.5247645750601,492.8447460572096,0,167,359.35329345883173,231.16624226732708,2
5,16,196.96875,107.21393169004436,574.2006850391292,359.36203971427835,771.1694350391292,396.013577174278,0.1,0.3,1,0.9401,0.0086,0.2935,2,187.29166666666666,160.3197921776625,771.1694350391292,396.013577174278,2,79,422.85116056641107,231.59577388313147,1
6,25,223.44,118.3847388813271,582.1175441031907,398.40590169839766,805.5575441031909,455.79529524853854,0.8,0.98,3,0.9338,0.0382,0.4035,4,326.8333333333333,199.52687092775807,805.5575441031909,455.79529524853854,0,155,434.9597196183217,256.6038642014837,0
7,49,212.21428571428572,113.09134830403468,118.5640548349398,537.7362893001745,330.7783405492255,600.8893542906098,0.3,0.46,1,0.9151,0.0083,0.8143,0,613.7916666666666,418.98858667497,330.7783405492255,600.8893542906098,1,281,865.8928151403403,451.2483557647601,0
8,25,264.04,107.21930050135563,650.2396308142445,359.3437463879464,914.2796308142445,404.14698343826126,0.1,0.3,1,0.8754,0.0511,0.5146,0,392.1666666666667,237.3801744506525,914.2796308142445,404.14698343826126,1,168,279.4401085746777,161.1845168682782,2
9,42,196.98809523809524,123.57022719390314,354.77650843765286,449.1638372447357,551.7646036757482,517.5551674644266,0.3,0.46,1,0.914,0.0488,0.4056,1,479.875,330.90262446073166,551.7646036757482,517.5551674644266,0,229,677.6497218215326,390.7346483446029,0
10,16,206.4375,121.65934445717681,622.261901618677,360.8741360515563,828.699401618677,426.87532731005285,0.1,0.3,1,0.966,0.0253,0.3112,3,191.41666666666666,134.64271135944279,828.699401618677,426.87532731005285,1,87,383.46777586080856,208.70748400055686,0
11,36,209.125,120.19615767338175,391.35153514744775,443.41862931551776,600.4765351474479,519.5118290482665,0.6,0.49,1,0.9404,0.0053,0.7438,0,444.625,286.8385234616624,600.4765351474479,519.5118290482665,0,205,652.9351499107576,415.95401324075834,1
12,22,180.5681818181818,111.39643533697623,557.13733017618,444.07337412244397,737.7055119943617,510.42914051708306,0.2,0.4,1,0.8981,0.0326,0.5471,0,229.29166666666666,173.95766466937357,737.7055119943617,510.42914051708306,0,112,493.2210295171901,201.4705320604239,2
13,26,182.69230769230768,117.08150324610145,586.9677080558558,495.0715124562894,769.6600157481636,537.4931288615809,0.8,0.75,2,0.9593,0.012,0.3614,2,275.6666666666667,214.76977337501557,769.6600157481636,537.4931288615809,0,123,596.6575178159787,313.52512579529116,1
14,33,247.5,112.68741964147793,644.2937728321936,518.6429981569432,891.7937728321936,556.5863816374015,0.4,0.49,1,0.9381,0.0425,0.4689,2,485.9583333333333,294.6236623738079,891.7937728321936,556.5863816374015,0,213,430.5281293623006,272.69021900729854,1
15,45,229.74444444444444,108.06122864285075,400.8669834152463,505.7308648869305,630.6114278596907,567.3117999309387,0.4,0.49,1,0.9145,0.0196,0.7046,0,618.5416666666666,433.98528480877735,630.6114278596907,567.3117999309387,0,276,669.6655659243008,340.6827384527009,0
16,17,230.88235294117646,120.09524766663637,858.2319165800081,396.9787202904262,1089.1142695211845,444.7786998023282,0.2,0.4,1,0.8076,0.0739,0.5739,0,228.33333333333334,144.92315971652778,1089.1142695211845,444.7786998023282,1,104,328.51972254970815,215.0212870501471,0
